,city,country,lat,lng,rank,country code,genre,top_genres,scale_rank,market_importance
283,brighton victoria,australia,39.9714,-104.7966,1944,AU,australian hiphop,4,0.296037239,1.184148956
2224,washington district of columbia,united states,38.9047,-77.0163,69,US,southern hiphop,1,0.972914249,0.972914249
38,albuquerque new mexico,united states,31.8195,-106.5948,218,US,southern hiphop,1,0.914854633,0.914854633
1660,raleigh north carolina,united states,35.289,-81.5416,238,US,southern hiphop,1,0.907107113,0.907107113
1757,saint lucia queensland,australia,27.2796,-80.3883,1948,AU,australian hiphop,3,0.294752913,0.88425874
1101,langley,canada,48.4462,-89.275,483,CA,canadian hiphop,1,0.813113619,0.813113619
519,darlinghurst new south wales,australia,-31.445,152.9187,2056,AU,australian hiphop,3,0.260437702,0.781313105
176,beaverton oregon,united states,42.9252,-89.3887,650,US,underground hiphop,1,0.750055988,0.750055988
458,collingwood victoria,australia,-38.0996,145.2834,857,AU,australian hiphop,1,0.673110788,0.673110788
1169,livingston,united kingdom,55.8833,-3.5333,1530,GB,uk hiphop,1,0.433563285,0.433563285
